clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,guidance_scale,seed,proxy_arousal_foldmean
anxiolytic.sleep.p0.g0,anxiolytic,sleep,calm peaceful music for deep sleep,0,musicgen-small,-31.89134172698128,0.180328369140625,2.6760202000765254,2.9842382835590486,2.9537057639344195,135.99917763157896,3.707414829659319,0.0208709929138422,0.0697247609496116,0.08614927397227,3.0,0,2.7187588378337813
anxiolytic.sleep.p0.g2,anxiolytic,sleep,calm peaceful music for deep sleep,2,musicgen-small,-21.610398449209963,0.4925537109375,2.362425525561977,3.700418644623182,3.135210531190498,123.046875,6.381445767067494,0.0649179518222808,0.0557720325887203,0.0728362148856052,3.0,0,2.6320325046358346
anxiolytic.sleep.p1.g0,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,musicgen-small,-22.96923238530301,0.446044921875,2.5877915553972195,3.4726417136260994,3.0928780558237987,89.10290948275862,3.1396125584502337,0.0730712786316871,0.0479968748986721,0.1312247979433225,3.0,0,2.9676602617383816
anxiolytic.sleep.p1.g2,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,2,musicgen-small,-31.355866908020545,0.268341064453125,3.1848702773919726,2.624099637259314,2.6869656945447096,112.34714673913044,3.0728122912491647,0.0258794650435447,0.0407024808228015,0.1420602462621435,3.0,0,2.92262488457001
anxiolytic.sleep.p2.g0,anxiolytic,sleep,"gentle ambient sleep music, very slow and quiet",0,musicgen-small,-26.26306872523228,0.273712158203125,3.290383911694947,3.158178263612092,2.874702200009668,123.046875,6.980627922511689,0.0507616251707077,0.0513460263609886,0.069434227047687,3.0,0,3.4809224452017786
anxiolytic.sleep.p2.g2,anxiolytic,sleep,"gentle ambient sleep music, very slow and quiet",2,musicgen-small,-21.269095370253723,0.42803955078125,3.067135475751184,3.459304833572381,3.467041091348722,129.19921875,6.312625250501002,0.0910509675741195,0.0496428981423378,0.0665837764412418,3.0,0,3.1369453836096888
anxiolytic.sleep.p3.g0,anxiolytic,sleep,relaxing bedtime music with warm soft tones,0,musicgen-small,-35.750174500103604,0.112945556640625,3.396188086243884,3.288393142213582,3.640168725020394,135.99917763157896,5.076820307281229,0.0168008059263229,0.0696156769990921,0.180689445034887,3.0,0,3.5701874568062157
anxiolytic.sleep.p3.g2,anxiolytic,sleep,relaxing bedtime music with warm soft tones,2,musicgen-small,-25.424723824598438,0.406890869140625,2.705906716285456,3.420255549698737,2.870101870731358,135.99917763157896,2.338255028381046,0.0376442484557628,0.0609132349491119,0.117167068041449,3.0,0,2.8163865376342256
anxiolytic.sleep.p4.g0,anxiolytic,sleep,quiet dreamy music for sleeping through the night,0,musicgen-small,-26.381828446643773,0.29437255859375,2.8887222506998134,2.920485315585817,2.8105347132389453,129.19921875,0.7014028056112224,0.0374589785933494,0.0469124317169189,0.0659856132944893,3.0,0,2.912066466332349
anxiolytic.sleep.p4.g2,anxiolytic,sleep,quiet dreamy music for sleeping through the night,2,musicgen-small,-33.60996820518201,0.10552978515625,3.383752120214081,3.120174783645409,3.2068144929343383,123.046875,6.312625250501002,0.0214752946048975,0.0481668747961521,0.0675523812943887,3.0,0,3.429499269542712
anxiolytic.sleep.p5.g0,anxiolytic,sleep,slow hushed music to drift off to sleep,0,musicgen-small,-33.10050232710876,0.1456298828125,3.4325820199089137,3.3572904472334195,3.547760963819648,123.046875,6.880427521710087,0.0175505019724369,0.0711166933178901,0.0943319492337115,3.0,0,3.221580406442679
anxiolytic.sleep.p5.g2,anxiolytic,sleep,slow hushed music to drift off to sleep,2,musicgen-small,-32.239349813091714,0.228363037109375,3.717707112611439,2.7215381250641664,3.8109936266766136,129.19921875,5.243820975283901,0.0365804769098758,0.0907860323786735,0.1143774430804825,3.0,0,3.4750461523739857
anxiolytic.sleep.p6.g0,anxiolytic,sleep,tender nighttime music for restful sleep,0,musicgen-small,-33.41883952970419,0.126434326171875,3.170471494406512,3.6414572535803273,3.7885352786427817,129.19921875,6.012024048096192,0.0221721641719341,0.0543496273458004,0.1224386496443239,3.0,0,3.2420502146955146
anxiolytic.sleep.p6.g2,anxiolytic,sleep,tender nighttime music for restful sleep,2,musicgen-small,-24.967297979808453,0.256622314453125,4.1253778972019015,3.5534877404520318,3.5902690796147683,99.38401442307692,3.507014028056112,0.0527684278786182,0.0465118065476417,0.0382012944471131,3.0,0,3.7441096977857433
