clip_id,prompt_id,group,category,prompt,seed,clip_seed,num_inference_steps,cfg_scale,duration_s,lufs_in,proxy_arousal_deploy,proxy_valence_deploy,proxy_arousal_foldmean,proxy_arousal_lufs23_deploy,proxy_arousal_lufs23_foldmean,aux_arousal,aux_arousal_lufs23,clap_similarity,tempo_bpm,onset_density,spectral_flux_mean,roughness,rms_mean,spectral_centroid_mean,mode_majorness
anxiolytic.sleep.p0.g0,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,31544,8,1.0,45.0,-31.393068494188828,3.003756623657849,2.8769223420469823,3.246581384283265,3.010906731772607,3.086070508057198,3.173081225277217,3.1750623421117035,0.3357634541014924,143.5546875,0.5874745868310598,0.0344209149479866,0.1223519728385984,0.0186392664909362,532.9737526306109,0.0919680455622851
anxiolytic.sleep.p0.g2,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,58090,8,1.0,45.0,-27.569173099563415,3.290951592451658,3.142010949204542,3.4854557846080176,3.3157266763654887,3.4703312855518673,3.3454924811871454,3.391403279434985,0.3251968514764877,60.09265988372093,0.6682320926966292,0.0357377417385578,0.0581659339494905,0.0313284210860729,726.8417800460483,0.2551818866177308
anxiolytic.sleep.p0.g4,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,66674,8,1.0,45.0,-31.833760697390375,3.432701476220317,2.693730468296402,3.293376109863231,2.951438506964391,2.9583727213101225,2.914868145929459,2.957114864696722,0.3196696337841053,86.1328125,0.8444444444444444,0.0368896387517452,0.0422944155241194,0.0159218497574329,923.23676971114,-0.1960159321176565
anxiolytic.sleep.p0.g6,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,61054,8,1.0,45.0,-23.63362751764737,2.861448699118116,3.431320362137265,3.0028588296360472,2.940680782197227,3.0606420061059807,2.373523364268028,2.364732880035485,0.3697559233782604,123.046875,0.4810609208776595,0.0454782173037529,0.0675128492809035,0.0512064807116985,457.3603871697025,0.1941096357345958
anxiolytic.sleep.p0.g8,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,57134,8,1.0,45.0,-27.390029689743372,3.0998281483857024,3.202615639619881,3.2601950047500425,2.81750354909666,3.057501607792176,3.5525354679209604,3.587804847371157,0.3884232636382185,123.046875,6.51500146713615,0.0414912067353725,0.076367628244319,0.0417707823216915,437.41257340074014,0.2672308750837359
anxiolytic.sleep.p0.g10,anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,0,58039,8,1.0,45.0,-27.33327685293505,3.5103666659020023,2.842754584287578,3.2302886490277745,3.1182062614786465,3.0624492744955933,3.236903748017493,3.281118387660662,0.3290695748531805,123.046875,0.7303383992067833,0.0433068424463272,0.0265233799592934,0.0225559026002883,1136.79766204171,0.2373046730706051
anxiolytic.sleep.p1.g0,anxiolytic.sleep.p1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,43532,8,1.0,45.0,-20.988215660438645,3.7644228541078126,3.264267514701946,3.816104775893914,3.627270955323843,3.603441490480736,3.81449205124137,3.791072741382112,0.3311173018482192,135.99917763157896,1.249595207253886,0.030852448195219,0.017468390353411,0.0582295581698417,1173.3819007710806,0.3181453146039906
anxiolytic.sleep.p1.g2,anxiolytic.sleep.p1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,22249,8,1.0,45.0,-24.698463993599933,3.444511150987654,3.741791107296632,3.416312487285416,3.651325927578128,3.535987492302092,1.5311588300146086,1.5545027581282809,0.3399594625387125,89.10290948275862,1.6670866935483872,0.036882109940052,0.0183345380976913,0.040312260389328,1467.131446414994,0.1541832880349528
anxiolytic.sleep.p1.g4,anxiolytic.sleep.p1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,38613,8,1.0,45.0,-24.416092004699752,2.7502856169924192,3.3071792823261514,3.132910982331863,2.828625666471712,3.171137915987576,2.676160495682186,2.6906089989774125,0.4198257918927962,117.45383522727272,1.781216802407932,0.0358396507799625,0.021830382103848,0.047391626983881,1026.522637075396,-0.0009477426020841
anxiolytic.sleep.p1.g6,anxiolytic.sleep.p1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,39438,8,1.0,45.0,-20.625980157214077,2.7077621387125634,3.149382007774917,2.8145346795941384,2.697159513459217,2.82058501875771,1.7310849571796694,1.7074238488439382,0.3571329922164258,112.34714673913044,0.9244621236910994,0.036478403955698,0.0292732138668106,0.0767745226621627,805.5684228411421,0.0438780418318698
