clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,num_inference_steps,cfg_scale,seed,clip_seed,config,proxy_arousal_foldmean
anxiolytic.sleep.p0.g0,anxiolytic,sleep,calm peaceful music for deep sleep,0,stable-audio-3-medium,-31.393068494188828,0.3419189453125,3.003756623657849,2.8769223420469823,3.173081225277217,143.5546875,0.5874745868310598,0.0186392664909362,0.0344209149479866,0.1223519728385984,8,1.0,0,31544,sweep_s8_cfg1.0,3.246581384283265
anxiolytic.sleep.p0.g2,anxiolytic,sleep,calm peaceful music for deep sleep,2,stable-audio-3-medium,-27.569173099563415,0.43927001953125,3.290951592451658,3.142010949204542,3.3454924811871454,60.09265988372093,0.6682320926966292,0.0313284210860729,0.0357377417385578,0.0581659339494905,8,1.0,0,58090,sweep_s8_cfg1.0,3.4854557846080176
anxiolytic.sleep.p1.g0,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,0,stable-audio-3-medium,-20.988215660438645,0.63348388671875,3.7644228541078126,3.264267514701946,3.81449205124137,135.99917763157896,1.249595207253886,0.0582295581698417,0.030852448195219,0.017468390353411,8,1.0,0,43532,sweep_s8_cfg1.0,3.816104775893914
anxiolytic.sleep.p1.g2,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,2,stable-audio-3-medium,-24.698463993599933,0.403594970703125,3.444511150987654,3.741791107296632,1.5311588300146086,89.10290948275862,1.6670866935483872,0.040312260389328,0.036882109940052,0.0183345380976913,8,1.0,0,22249,sweep_s8_cfg1.0,3.416312487285416
anxiolytic.anxiety_relief.p0.g0,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,0,stable-audio-3-medium,-25.016269237980637,0.399200439453125,2.709029225386567,3.43205014610197,3.309821263063093,129.19921875,6.059955940628476,0.0552393682301044,0.0420421659946441,0.0985502326417464,8,1.0,0,54310,sweep_s8_cfg1.0,2.8349020614541693
anxiolytic.anxiety_relief.p0.g2,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,2,stable-audio-3-medium,-22.990989182776342,0.3721923828125,2.962379070897716,3.4291591065552525,3.029765059972279,151.99908088235293,2.081971839353612,0.0718703866004943,0.0406867116689682,0.154426677620829,8,1.0,0,51925,sweep_s8_cfg1.0,2.9323823235955326
anxiolytic.anxiety_relief.p1.g0,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,0,stable-audio-3-medium,-18.78692553634702,0.785003662109375,3.325014146072465,3.137454056223355,2.7960880084943227,117.45383522727272,1.3937348300970875,0.1010307073593139,0.0315133854746818,0.1287074450662662,8,1.0,0,82045,sweep_s8_cfg1.0,3.1812240586365603
anxiolytic.anxiety_relief.p1.g2,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,2,stable-audio-3-medium,-27.165629556852476,0.357208251953125,3.519768625620383,3.84670615050986,3.279635790548779,117.45383522727272,2.8330029539800994,0.0393067486584186,0.0395392663776874,0.0865172341989032,8,1.0,0,254,sweep_s8_cfg1.0,3.477224227440817
anxiolytic.meditation.p0.g0,anxiolytic,meditation,slow meditation music with soft sustained tones,0,stable-audio-3-medium,-18.384473471744023,0.64202880859375,3.1561461729531914,3.853177248981729,3.036975391193317,129.19921875,2.217818083289543,0.1208819895982742,0.0364373065531253,0.1614750087898451,8,1.0,0,69446,sweep_s8_cfg1.0,3.1802246396402944
anxiolytic.meditation.p0.g2,anxiolytic,meditation,slow meditation music with soft sustained tones,2,stable-audio-3-medium,-19.12280153759615,0.730224609375,3.585788295296485,3.8938423040505423,3.959058198690648,123.046875,6.289844156055094,0.1127950921654701,0.0427490845322608,0.1769963053445256,8,1.0,0,69856,sweep_s8_cfg1.0,3.583221334996142
