participant,calibration_order
P01,c05 c02 d01 g04 d04 g03 g06 d02 g08 c04 d05 c09
P02,d08 g05 g12 d03 d02 g02 c01 g07 c07 d05 c04 c05
P03,c03 d01 c10 c12 c01 g12 d04 d06 g04 g05 d05 g03
P04,g08 g02 c08 d04 d06 c02 d03 c05 g01 d05 c01 g04
P05,d03 d01 c02 g09 g02 d04 c06 g05 g01 c12 d05 c05
P06,c12 g04 g03 c01 g06 d07 c03 d08 g10 d02 d04 c02
P07,d07 g02 d05 g12 d03 d02 c01 c06 g11 g08 c04 c12
P08,g01 d01 c04 c02 g05 c08 g02 c11 g06 d07 d05 d02
P09,g02 c02 d06 c05 c09 d07 d05 g03 g01 c06 d01 g11
P10,g12 d03 c09 c01 d08 c06 d04 g09 g04 d01 c03 g08
P11,c04 d05 g04 g09 d06 c08 d01 g05 d04 c03 g03 c11
P12,c09 d04 d02 d08 c06 g08 g10 d07 g12 c01 g09 c07
P13,g03 d01 d08 c04 d06 d02 c06 c03 c10 g07 g08 g01
P14,g01 d05 c05 c02 g09 d06 c06 c12 g08 d07 d01 g12
P15,c08 d07 d06 d04 d01 c07 c02 g02 g07 g06 c10 g09
P16,c11 c09 c01 d02 g10 c05 g12 g02 d01 d03 g11 d04
P17,d02 g10 g06 c06 d03 d07 g09 c03 d04 c07 g05 c10
P18,c01 g09 d08 d06 c04 g11 g12 c09 c10 g06 d04 d03
P19,d02 g04 c02 g02 g12 d06 d07 c07 g11 c12 d01 c09
P20,d08 g10 d03 g08 g02 c05 d05 c08 c01 d06 g04 c06
P21,c09 d06 c10 d03 c05 d08 g12 g02 g04 d05 g09 c07
P22,g02 c05 g05 g12 c03 d08 d01 c04 d07 d02 g06 c01
P23,d01 d07 d02 c08 g05 d03 c02 c07 c11 g07 g12 g02
P24,c12 g05 c03 g08 c06 d06 g09 c10 d08 d03 d04 g03
