participant,item,domain,arousal_1to9
P01,c08,synthesiser,8
P01,c03,synthesiser,3
P01,c10,synthesiser,8
P01,c11,synthesiser,9
P01,c05,synthesiser,3
P01,c02,synthesiser,7
P01,d01,DEAM,8
P01,g04,stable-audio-3,2
P01,d04,DEAM,6
P01,g03,stable-audio-3,5
P01,g06,stable-audio-3,4
P01,d02,DEAM,6
P01,g08,stable-audio-3,7
P01,c04,synthesiser,3
P01,d05,DEAM,9
P01,c09,synthesiser,9
P02,c10,synthesiser,7
P02,c06,synthesiser,3
P02,c11,synthesiser,8
P02,c08,synthesiser,5
P02,d08,DEAM,8
P02,g05,stable-audio-3,2
P02,g12,stable-audio-3,8
P02,d03,DEAM,5
P02,d02,DEAM,3
P02,g02,stable-audio-3,2
P02,c01,synthesiser,3
P02,g07,stable-audio-3,5
P02,c07,synthesiser,4
P02,d05,DEAM,7
P02,c04,synthesiser,1
P02,c05,synthesiser,2
P03,c04,synthesiser,4
P03,c06,synthesiser,6
P03,c05,synthesiser,6
P03,c08,synthesiser,8
P03,c03,synthesiser,1
P03,d01,DEAM,8
P03,c10,synthesiser,9
P03,c12,synthesiser,9
P03,c01,synthesiser,2
P03,g12,stable-audio-3,8
P03,d04,DEAM,6
P03,d06,DEAM,7
P03,g04,stable-audio-3,2
P03,g05,stable-audio-3,1
P03,d05,DEAM,9
P03,g03,stable-audio-3,2
P04,c11,synthesiser,7
P04,c12,synthesiser,6
P04,c04,synthesiser,2
P04,c07,synthesiser,2
P04,g08,stable-audio-3,1
P04,g02,stable-audio-3,1
P04,c08,synthesiser,7
P04,d04,DEAM,4
P04,d06,DEAM,6
P04,c02,synthesiser,1
P04,d03,DEAM,4
P04,c05,synthesiser,2
P04,g01,stable-audio-3,2
P04,d05,DEAM,8
P04,c01,synthesiser,1
P04,g04,stable-audio-3,1
P05,c03,synthesiser,2
P05,c01,synthesiser,1
P05,c08,synthesiser,7
P05,c11,synthesiser,7
P05,d03,DEAM,5
P05,d01,DEAM,6
P05,c02,synthesiser,3
P05,g09,stable-audio-3,5
P05,g02,stable-audio-3,5
P05,d04,DEAM,6
P05,c06,synthesiser,6
P05,g05,stable-audio-3,2
P05,g01,stable-audio-3,4
P05,c12,synthesiser,8
P05,d05,DEAM,9
P05,c05,synthesiser,4
P06,c04,synthesiser,6
P06,c05,synthesiser,7
P06,c08,synthesiser,8
P06,c07,synthesiser,6
P06,c12,synthesiser,9
P06,g04,stable-audio-3,1
P06,g03,stable-audio-3,3
P06,c01,synthesiser,4
P06,g06,stable-audio-3,2
P06,d07,DEAM,8
P06,c03,synthesiser,3
P06,d08,DEAM,9
P06,g10,stable-audio-3,6
P06,d02,DEAM,5
P06,d04,DEAM,7
P06,c02,synthesiser,3
P07,c02,synthesiser,1
P07,c05,synthesiser,3
P07,c07,synthesiser,6
P07,c08,synthesiser,5
P07,d07,DEAM,7
P07,g02,stable-audio-3,1
P07,d05,DEAM,8
P07,g12,stable-audio-3,7
P07,d03,DEAM,6
P07,d02,DEAM,4
P07,c01,synthesiser,1
P07,c06,synthesiser,4
P07,g11,stable-audio-3,6
P07,g08,stable-audio-3,3
P07,c04,synthesiser,2
P07,c12,synthesiser,7
P08,c01,synthesiser,1
P08,c12,synthesiser,8
P08,c10,synthesiser,8
P08,c09,synthesiser,7
P08,g01,stable-audio-3,2
P08,d01,DEAM,9
P08,c04,synthesiser,2
P08,c02,synthesiser,2
P08,g05,stable-audio-3,1
P08,c08,synthesiser,6
P08,g02,stable-audio-3,2
P08,c11,synthesiser,8
P08,g06,stable-audio-3,3
P08,d07,DEAM,5
P08,d05,DEAM,8
P08,d02,DEAM,3
P09,c03,synthesiser,4
P09,c10,synthesiser,9
P09,c08,synthesiser,7
P09,c12,synthesiser,9
P09,g02,stable-audio-3,1
P09,c02,synthesiser,5
P09,d06,DEAM,9
P09,c05,synthesiser,4
P09,c09,synthesiser,8
P09,d07,DEAM,9
P09,d05,DEAM,9
P09,g03,stable-audio-3,4
P09,g01,stable-audio-3,3
P09,c06,synthesiser,5
P09,d01,DEAM,5
P09,g11,stable-audio-3,7
P10,c12,synthesiser,9
P10,c07,synthesiser,4
P10,c10,synthesiser,9
P10,c11,synthesiser,9
P10,g12,stable-audio-3,7
P10,d03,DEAM,3
P10,c09,synthesiser,9
P10,c01,synthesiser,1
P10,d08,DEAM,8
