item,planner,s0,schedule,proxy_trajectory,track_rmse,start_err,max_step,endpoint_err,n_raters,mean_endpoint_calm,mean_smoothness,mean_start_match,mean_overall_traj
t01,jump,7.38,"[7.38, 6.739, 5.19, 3.641, 3.0]","[3.744, 3.629, 3.867, 3.673, 3.171]",2.221208053499695,3.63617626303698,0.5020322309093825,0.17112258979160444,8,5.625,6.125,3.25,5.75
t02,rule,7.38,"[7.38, 6.739, 5.19, 3.641, 3.0]","[5.014, 4.963, 3.904, 3.782, 3.623]",1.470764288506015,2.366172728860633,1.0592170361815079,0.6233308421376726,10,4.1,2.7,4.2,4.7
t03,rule+BoN,7.38,"[7.38, 6.739, 5.19, 3.641, 3.0]","[5.283, 5.128, 4.938, 3.948, 3.613]",1.2269712490807592,2.097305331311275,0.9898777835025991,0.6134484857839664,8,5.0,3.75,4.625,4.75
t04,jump,8.19,"[8.19, 7.43, 5.595, 3.76, 3.0]","[3.715, 3.613, 3.756, 3.536, 3.266]",2.7601712945194437,4.475030103136741,0.2695985959170306,0.2663154745298879,13,5.461538461538462,6.0,4.923076923076923,5.230769230769231
t05,rule,8.19,"[8.19, 7.43, 5.595, 3.76, 3.0]","[5.083, 5.039, 4.932, 3.706, 3.798]",1.8136016342607135,3.1065466061758453,1.2264493116911863,0.7976066734530058,8,5.25,3.125,5.25,4.0
t06,rule+BoN,8.19,"[8.19, 7.43, 5.595, 3.76, 3.0]","[4.971, 5.185, 5.27, 3.425, 3.312]",1.7728863211828245,3.2185443552293957,1.8446384487211875,0.3115639176917355,6,3.3333333333333335,3.1666666666666665,5.5,3.5
t07,jump,7.83,"[7.83, 7.123, 5.415, 3.707, 3.0]","[3.845, 3.43, 3.88, 3.872, 3.316]",2.529799703361862,3.9852129555545863,0.5560127871426181,0.31646962383906496,11,5.545454545454546,5.636363636363637,3.727272727272727,5.7272727272727275
t08,rule,7.83,"[7.83, 7.123, 5.415, 3.707, 3.0]","[4.868, 4.91, 5.078, 3.797, 3.494]",1.6755311604640712,2.9621835434075745,1.280246194674088,0.49354409193217963,11,4.909090909090909,3.4545454545454546,4.909090909090909,3.909090909090909
t09,rule+BoN,7.83,"[7.83, 7.123, 5.415, 3.707, 3.0]","[4.941, 4.646, 4.859, 3.693, 3.471]",1.7326255555863541,2.8886164908219065,1.1658866183873724,0.47083273137226334,9,3.7777777777777777,3.111111111111111,4.125,3.3333333333333335
t10,jump,6.18,"[6.18, 5.714, 4.59, 3.466, 3.0]","[3.707, 3.532, 3.981, 3.855, 3.401]",1.5207308893445872,2.4729129083505788,0.45316995520124914,0.4013804018789471,9,4.666666666666667,6.333333333333333,3.888888888888889,5.444444444444445
