item,kind,condition,s0,verifier_arousal_traj
t01,trajectory,jump,7.38,3.54
t02,trajectory,rule,7.38,4.88
t03,trajectory,rule+BoN,7.38,5.26
t04,trajectory,jump,8.19,3.71
t05,trajectory,rule,8.19,4.89
t06,trajectory,rule+BoN,8.19,5.19
t07,trajectory,jump,7.83,3.88
t08,trajectory,rule,7.83,4.93
t09,trajectory,rule+BoN,7.83,5.11
t10,trajectory,jump,6.18,3.55
t11,trajectory,rule,6.18,4.62
t12,trajectory,rule+BoN,6.18,4.36
t13,trajectory,jump,6.40,4.00
t14,trajectory,rule,6.40,4.39
t15,trajectory,rule+BoN,6.40,5.06
t16,trajectory,jump,8.12,3.93
t17,trajectory,rule,8.12,4.91
t18,trajectory,rule+BoN,8.12,5.10
t19,trajectory,jump,5.52,3.58
t20,trajectory,rule,5.52,4.00
t21,trajectory,rule+BoN,5.52,4.10
t22,trajectory,jump,7.96,3.83
t23,trajectory,rule,7.96,4.54
t24,trajectory,rule+BoN,7.96,4.81
c01,calibration,single,1.00,3.17
c02,calibration,single,1.73,3.18
c03,calibration,single,2.45,3.68
c04,calibration,single,3.18,3.67
c05,calibration,single,3.91,4.07
c06,calibration,single,4.64,3.94
c07,calibration,single,5.36,5.04
c08,calibration,single,6.09,5.04
c09,calibration,single,6.82,4.97
c10,calibration,single,7.55,5.13
c11,calibration,single,8.27,5.08
c12,calibration,single,9.00,5.77
