participant,order
P01,t01 c08 t22 c03 c10 t23 t20 t09 t13 t05 c11 t18 t12
P02,c10 t01 t03 c06 t05 t22 t08 t10 c11 t09 t02 t18 c08
P03,c04 t17 c06 t11 t23 t01 c05 t07 c08 t12 t03 t13 t06
P04,c11 c12 t11 t20 t07 c04 t10 t12 t08 t13 t03 c07 t09
P05,t12 t10 c03 t23 c01 t21 t01 t04 t02 t20 t06 c08 c11
P06,t03 t21 t10 t23 c04 c05 t04 c08 t14 t02 t19 c07 t24
P07,t11 t06 c02 c05 t21 t07 c07 t09 t17 t16 t05 t10 c08
P08,t07 t02 t09 t14 c01 c12 t08 t03 t04 c10 c09 t12 t22
P09,c03 c10 t05 t12 t11 c08 t02 t04 c12 t01 t24 t18 t07
P10,t04 t14 t20 c12 c07 t16 t10 c10 t21 t15 c11 t09 t11
P11,t07 c02 t19 t17 t10 t23 c12 t06 t09 c01 c07 t12 t08
P12,t23 c04 c08 c11 t01 t04 t07 t14 c02 t24 t15 t08 t18
P13,t18 t12 c12 c01 t13 c09 t04 c02 t07 t02 t23 t20 t21
P14,t13 t12 c09 t24 t23 t05 t22 t21 c08 c10 t10 t08 c07
P15,t10 c04 t14 t22 t20 t08 t04 t12 c11 c01 c09 t06 t15
P16,c02 t13 c06 c08 c12 t11 t16 t04 t23 t21 t18 t12 t02
P17,t18 t20 c05 c09 c12 t19 t08 t06 t23 t22 t24 c08 t07
P18,t22 t15 c12 t21 c02 c03 c08 t02 t17 t09 t13 t01 t23
P19,t20 t08 c04 c01 t05 c06 t24 c03 t01 t03 t15 t16 t19
P20,t08 t21 t04 t19 c11 t23 t18 t15 c02 c03 c04 t16 t11
P21,t02 t22 t04 t05 c04 t18 c08 t13 t23 t15 c02 c12 t03
P22,t23 c08 t08 c11 t12 t15 c09 t07 c12 t14 t22 t13 t24
P23,c01 t22 t02 t09 c09 c05 t07 t14 c12 t17 t12 t18 t04
P24,t14 t17 t24 t22 c08 t18 t04 c11 c09 t03 t05 c01 t13
