participant,item,planner,s0,question,rating_1to7,valid
P01,t01,jump,7.38,endpoint_calm,5.0,True
P01,t01,jump,7.38,smoothness,5.0,True
P01,t01,jump,7.38,start_match,2.0,True
P01,t01,jump,7.38,overall_traj,5.0,True
P01,t22,jump,7.96,endpoint_calm,5.0,True
P01,t22,jump,7.96,smoothness,5.0,True
P01,t22,jump,7.96,start_match,2.0,True
P01,t22,jump,7.96,overall_traj,5.0,True
P01,t23,rule,7.96,endpoint_calm,5.0,True
P01,t23,rule,7.96,smoothness,2.0,True
P01,t23,rule,7.96,start_match,6.0,True
P01,t23,rule,7.96,overall_traj,3.0,True
P01,t20,rule,5.52,endpoint_calm,5.0,True
P01,t20,rule,5.52,smoothness,4.0,True
P01,t20,rule,5.52,start_match,6.0,True
P01,t20,rule,5.52,overall_traj,4.0,True
P01,t09,rule+BoN,7.83,endpoint_calm,5.0,True
P01,t09,rule+BoN,7.83,smoothness,3.0,True
P01,t09,rule+BoN,7.83,start_match,6.0,True
P01,t09,rule+BoN,7.83,overall_traj,3.0,True
P01,t13,jump,6.4,endpoint_calm,6.0,True
P01,t13,jump,6.4,smoothness,6.0,True
P01,t13,jump,6.4,start_match,3.0,True
P01,t13,jump,6.4,overall_traj,6.0,True
P01,t05,rule,8.19,endpoint_calm,5.0,True
P01,t05,rule,8.19,smoothness,4.0,True
P01,t05,rule,8.19,start_match,7.0,True
P01,t05,rule,8.19,overall_traj,3.0,True
P01,t18,rule+BoN,8.12,endpoint_calm,5.0,True
P01,t18,rule+BoN,8.12,smoothness,3.0,True
P01,t18,rule+BoN,8.12,start_match,7.0,True
P01,t18,rule+BoN,8.12,overall_traj,4.0,True
P01,t12,rule+BoN,6.18,endpoint_calm,5.0,True
P01,t12,rule+BoN,6.18,smoothness,1.0,True
P01,t12,rule+BoN,6.18,start_match,5.0,True
P01,t12,rule+BoN,6.18,overall_traj,2.0,True
P02,t01,jump,7.38,endpoint_calm,6.0,True
P02,t01,jump,7.38,smoothness,4.0,True
P02,t01,jump,7.38,start_match,1.0,True
P02,t01,jump,7.38,overall_traj,5.0,True
P02,t03,rule+BoN,7.38,endpoint_calm,6.0,True
P02,t03,rule+BoN,7.38,smoothness,1.0,True
P02,t03,rule+BoN,7.38,start_match,6.0,True
P02,t03,rule+BoN,7.38,overall_traj,6.0,True
P02,t05,rule,8.19,endpoint_calm,5.0,True
P02,t05,rule,8.19,smoothness,3.0,True
P02,t05,rule,8.19,start_match,7.0,True
P02,t05,rule,8.19,overall_traj,5.0,True
P02,t22,jump,7.96,endpoint_calm,6.0,True
P02,t22,jump,7.96,smoothness,5.0,True
P02,t22,jump,7.96,start_match,1.0,True
P02,t22,jump,7.96,overall_traj,5.0,True
P02,t08,rule,7.83,endpoint_calm,6.0,True
P02,t08,rule,7.83,smoothness,3.0,True
P02,t08,rule,7.83,start_match,6.0,True
P02,t08,rule,7.83,overall_traj,5.0,True
P02,t10,jump,6.18,endpoint_calm,3.0,True
P02,t10,jump,6.18,smoothness,6.0,True
P02,t10,jump,6.18,start_match,2.0,True
P02,t10,jump,6.18,overall_traj,2.0,True
P02,t09,rule+BoN,7.83,endpoint_calm,6.0,True
P02,t09,rule+BoN,7.83,smoothness,3.0,True
P02,t09,rule+BoN,7.83,start_match,6.0,True
P02,t09,rule+BoN,7.83,overall_traj,5.0,True
P02,t02,rule,7.38,endpoint_calm,3.0,True
P02,t02,rule,7.38,smoothness,1.0,True
P02,t02,rule,7.38,start_match,6.0,True
P02,t02,rule,7.38,overall_traj,5.0,True
P02,t18,rule+BoN,8.12,endpoint_calm,6.0,True
P02,t18,rule+BoN,8.12,smoothness,2.0,True
P02,t18,rule+BoN,8.12,start_match,7.0,True
P02,t18,rule+BoN,8.12,overall_traj,6.0,True
P03,t17,rule,8.12,endpoint_calm,6.0,True
P03,t17,rule,8.12,smoothness,2.0,True
P03,t17,rule,8.12,start_match,7.0,True
P03,t17,rule,8.12,overall_traj,6.0,True
P03,t11,rule,6.18,endpoint_calm,4.0,True
P03,t11,rule,6.18,smoothness,1.0,True
P03,t11,rule,6.18,start_match,3.0,True
P03,t11,rule,6.18,overall_traj,3.0,True
P03,t23,rule,7.96,endpoint_calm,5.0,True
P03,t23,rule,7.96,smoothness,6.0,True
P03,t23,rule,7.96,start_match,6.0,True
P03,t23,rule,7.96,overall_traj,5.0,True
P03,t01,jump,7.38,endpoint_calm,7.0,True
P03,t01,jump,7.38,smoothness,7.0,True
P03,t01,jump,7.38,start_match,1.0,True
P03,t01,jump,7.38,overall_traj,7.0,True
P03,t07,jump,7.83,endpoint_calm,6.0,True
P03,t07,jump,7.83,smoothness,7.0,True
P03,t07,jump,7.83,start_match,2.0,True
P03,t07,jump,7.83,overall_traj,6.0,True
P03,t12,rule+BoN,6.18,endpoint_calm,3.0,True
P03,t12,rule+BoN,6.18,smoothness,3.0,True
P03,t12,rule+BoN,6.18,start_match,5.0,True
P03,t12,rule+BoN,6.18,overall_traj,2.0,True
P03,t03,rule+BoN,7.38,endpoint_calm,2.0,True
P03,t03,rule+BoN,7.38,smoothness,4.0,True
P03,t03,rule+BoN,7.38,start_match,6.0,True
P03,t03,rule+BoN,7.38,overall_traj,2.0,True
P03,t13,jump,6.4,endpoint_calm,7.0,True
P03,t13,jump,6.4,smoothness,7.0,True
P03,t13,jump,6.4,start_match,1.0,True
P03,t13,jump,6.4,overall_traj,7.0,True
P03,t06,rule+BoN,8.19,endpoint_calm,5.0,True
P03,t06,rule+BoN,8.19,smoothness,1.0,True
P03,t06,rule+BoN,8.19,start_match,7.0,True
P03,t06,rule+BoN,8.19,overall_traj,5.0,True
P04,t11,rule,6.18,endpoint_calm,6.0,True
P04,t11,rule,6.18,smoothness,7.0,True
P04,t11,rule,6.18,start_match,5.0,True
P04,t11,rule,6.18,overall_traj,6.0,True
P04,t20,rule,5.52,endpoint_calm,7.0,True
P04,t20,rule,5.52,smoothness,6.0,True
P04,t20,rule,5.52,start_match,5.0,True
P04,t20,rule,5.52,overall_traj,5.0,True
P04,t07,jump,7.83,endpoint_calm,7.0,True
P04,t07,jump,7.83,smoothness,7.0,True
P04,t07,jump,7.83,start_match,5.0,True
P04,t07,jump,7.83,overall_traj,5.0,True
P04,t10,jump,6.18,endpoint_calm,6.0,True
P04,t10,jump,6.18,smoothness,6.0,True
P04,t10,jump,6.18,start_match,6.0,True
P04,t10,jump,6.18,overall_traj,7.0,True
P04,t12,rule+BoN,6.18,endpoint_calm,5.0,True
P04,t12,rule+BoN,6.18,smoothness,2.0,True
P04,t12,rule+BoN,6.18,start_match,3.0,True
P04,t12,rule+BoN,6.18,overall_traj,4.0,True
P04,t08,rule,7.83,endpoint_calm,5.0,True
P04,t08,rule,7.83,smoothness,3.0,True
P04,t08,rule,7.83,start_match,3.0,True
P04,t08,rule,7.83,overall_traj,3.0,True
P04,t13,jump,6.4,endpoint_calm,6.0,True
P04,t13,jump,6.4,smoothness,6.0,True
P04,t13,jump,6.4,start_match,7.0,True
P04,t13,jump,6.4,overall_traj,7.0,True
P04,t03,rule+BoN,7.38,endpoint_calm,5.0,True
P04,t03,rule+BoN,7.38,smoothness,3.0,True
P04,t03,rule+BoN,7.38,start_match,2.0,True
P04,t03,rule+BoN,7.38,overall_traj,3.0,True
P04,t09,rule+BoN,7.83,endpoint_calm,6.0,True
P04,t09,rule+BoN,7.83,smoothness,2.0,True
P04,t09,rule+BoN,7.83,start_match,1.0,True
P04,t09,rule+BoN,7.83,overall_traj,2.0,True
P05,t12,rule+BoN,6.18,endpoint_calm,7.0,True
P05,t12,rule+BoN,6.18,smoothness,3.0,True
P05,t12,rule+BoN,6.18,start_match,7.0,True
P05,t12,rule+BoN,6.18,overall_traj,6.0,True
P05,t10,jump,6.18,endpoint_calm,2.0,True
P05,t10,jump,6.18,smoothness,6.0,True
P05,t10,jump,6.18,start_match,2.0,True
P05,t10,jump,6.18,overall_traj,5.0,True
P05,t23,rule,7.96,endpoint_calm,7.0,True
P05,t23,rule,7.96,smoothness,1.0,True
P05,t23,rule,7.96,start_match,1.0,True
P05,t23,rule,7.96,overall_traj,5.0,True
P05,t21,rule+BoN,5.52,endpoint_calm,2.0,True
P05,t21,rule+BoN,5.52,smoothness,5.0,True
